9 cavities found for Pan troglodytes.cif #1
Pan troglodytes.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
27.1.2		189	195.57	875	0	0
27.1.3		57.24	80.17	265	5.47	2.69
27.1.6		49.03	62.86	227	1.47	0.49
27.1.1		22.25	35.57	103	1.34	0.33
27.1.11		19.87	36.19	92	0	0
27.1.10		16.85	32.42	78	1.34	0.28
27.1.4		12.31	29.54	57	0	0
27.1.5		12.31	29.54	57	0	0
27.1.7		12.31	29.54	57	0	0
27.1.9		12.31	29.54	57	0	0
27.1.8		9.72	18.16	45	1.34	0.48

10 cavities found for Panthera leo.cif #28
Panthera leo.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
28.1.5		196.99	202.14	912	0	0
28.1.4		72.58	95.94	336	3.55	0.9
28.1.1		55.3	66.29	256	3.6	1.38
28.1.7		33.05	46.03	153	1.7	0.48
28.1.10		21.38	37.45	99	0	0
28.1.8		16.85	32.3	78	0	0
28.1.6		12.31	29.54	57	0	0
28.1.9		6.91	16.05	32	1.2	0.41
28.1.3		6.05	13.01	28	0.85	0.2
28.1.2		5.18	12.85	24	0.85	0.38

14 cavities found for Panthera pardus.cif #29
Panthera pardus.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
29.1.6		178.63	196.07	827	0	0
29.1.12		27.22	38.63	126	2.16	0.75
29.1.13		23.98	35.08	111	1.7	0.52
29.1.2		19.87	36.19	92	0	0
29.1.3		16.85	32.3	78	0	0
29.1.4		13.18	24.58	61	0.85	0.32
29.1.11		12.31	29.54	57	0	0
29.1.7		12.1	28.58	56	2.16	1.25
29.1.9		11.23	20.75	52	1.34	0.42
29.1.10		11.23	20.75	52	1.34	0.37
29.1.5		10.15	15.42	47	0.6	0.14
29.1.8		10.15	23.21	47	1.34	0.55
29.1.14		7.56	14.93	35	0.6	0.14
29.1.1		7.34	12.86	34	0.6	0.16

11 cavities found for rhinolophus_ferrumequinum.cif #30
rhinolophus_ferrumequinum.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
30.1.6		183.17	194.83	848	0	0
30.1.10		38.23	51.73	177	1.8	0.51
30.1.9		22.9	39.3	106	0	0
30.1.1		19.01	32.77	88	1.47	0.62
30.1.3		19.01	38.34	88	0	0
30.1.2		13.18	22.29	61	1.34	0.48
30.1.8		12.31	29.54	57	0	0
30.1.11		12.31	29.54	57	0	0
30.1.7		11.02	20.42	51	1.34	0.38
30.1.5		10.15	22.92	47	0.6	0.15
30.1.4		8.64	18.16	40	1.34	0.52

4 cavities found for saimiri_boliviensis_boliviensis.cif #31
saimiri_boliviensis_boliviensis.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
31.1.1		19.87	36.19	92	0	0
31.1.2		19.01	45.38	88	3.55	1.58
31.1.4		9.07	20.28	42	0.6	0.16
31.1.3		5.62	10.05	26	0.6	0.07

7 cavities found for Sapajus apella.cif #32
Sapajus apella.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
32.1.3		210.38	227.33	974	0	0
32.1.5		79.06	87.08	366	2.16	0.63
32.1.1		55.94	62.2	259	2.62	0.95
32.1.2		21.82	30.3	101	1.7	0.41
32.1.7		19.87	36.19	92	0	0
32.1.6		12.31	29.54	57	0	0
32.1.4		10.58	23.85	49	1.7	0.8

10 cavities found for sciurus_carolinensis.cif #33
sciurus_carolinensis.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
33.1.6		192.02	206.77	889	0	0
33.1.8		47.52	61.7	220	1.34	0.39
33.1.5		19.87	34.05	92	2.16	0.93
33.1.9		19.87	36.19	92	0	0
33.1.10		19.87	36.19	92	0	0
33.1.1		18.58	33.47	86	1.47	0.58
